,Name,Company,LinkedIn,Batch
110,Hyun Kim,Superb AI,https://www.linkedin.com/in/hyunsoo-kim-a60557b2/,W19
111,Moonsu Cha,Superb AI,https://www.linkedin.com/in/moonsucha/,W19
112,Jonghyuk Lee,Superb AI,https://www.linkedin.com/in/jonghyuk-lee-5612a312a,W19
113,Jungkwon Lee,Superb AI,https://www.linkedin.com/in/jung-kwon-lee-67a36a152/,W19
114,Anders Forslund,Heart Aerospace,http://linkedin.com/in/anders-forslund,W19
115,David Stanton,Reelables,,W19
116,Brian Krejcarek,Reelables,https://www.linkedin.com/in/briankrejcarek/,W19
117,Udayan Umapathi,"Volta Labs, Inc.",http://linkedin.com/in/udayanu/,W19
118,Boris Jarry,JetPack Aviation,https://www.linkedin.com/in/boris-jarry-24451b14,W19
119,David Mayman,JetPack Aviation,https://www.linkedin.com/in/davidmayman,W19
120,Jeremy Osborne,Valo,https://linkedin.com/in/jezosborne,W19
121,Ed Kearney,Valo,https://au.linkedin.com/in/ed-kearney,W19
122,Peter Xu,Wanderlog,https://www.linkedin.com/in/pxpeterxu,W19
123,Harry Yu,Wanderlog,https://www.linkedin.com/in/harry-yu-ba199914/,W19
124,Jonathon Blok,Aura Vision,https://www.linkedin.com/in/jonathon-blok/,W19
125,Jaime Lomeli-Rodriguez,Aura Vision,https://www.linkedin.com/in/dr-jaime-lomeli-r-394451119,W19
126,Daniel Martinho-Corbishley,Aura Vision,https://www.linkedin.com/in/danielmartinhocorbishley/,W19
127,Mei Wang,Instapath Inc.,https://www.linkedin.com/in/mei-wang-34096858/,W19
128,Quincy Brown,Instapath Inc.,https://www.linkedin.com/in/j-quincy-brown-28b4288/,W19
129,David Tulman,Instapath Inc.,https://www.linkedin.com/in/david-tulman-2aa38112a/,W19
130,Juan Andrade,Caribou,https://www.linkedin.com/in/isjuanonline/,W19
131,Jake Bullock,Ravn,https://www.linkedin.com/in/jake-bullock-58284865/,W19
132,Brian Vallelunga,Doppler,http://linkedin.com/in/vallelungabrian,W19
