Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
22,Adham Nauman,Amenli,https://www.linkedin.com/in/adham-nauman-a6882ba3/,S21,0.0,3300000.0
23,Hussein Fawzi,Pide Directo,https://www.linkedin.com/in/hussein-a-fawzi-4427031a4/,S21,0.0,10550000.0
24,Antonio Nacoud,Pide Directo,https://linkedin.com/in/antonionacoud,S21,0.0,10550000.0
25,Ronni Samir Sulaka,Pide Directo,https://www.linkedin.com/in/ronnisamir?originalSubdomain=se,S21,0.0,10550000.0
26,Anders Steiner,Pide Directo,https://www.linkedin.com/in/anders-steiner-a6478aa/,S21,0.0,10550000.0
27,Igor Susmelj,Lightly,https://www.linkedin.com/in/igorsusmelj/,S21,0.0,3000000.0
28,Matthias Heller,Lightly,https://www.linkedin.com/in/matthiasheller/,S21,0.0,3000000.0
29,Mahmoud Ghulman,Nash,https://www.linkedin.com/in/mahmoudghulman/,S21,0.0,27800000.0
30,Aziz Alghunaim,Nash,https://www.linkedin.com/in/azizkag,S21,0.0,27800000.0
31,Rebecca Weisinger,Equipt Health,https://www.linkedin.com/in/rebecca-weisinger-62ab44/,S21,0.0,75000000.0
32,Max Greenfeld,Equipt Health,https://www.linkedin.com/in/max-greenfeld-9718309/,S21,0.0,75000000.0
33,Avinash Sukhwai,Payflow,https://www.linkedin.com/in/avinash-sukhwani,S21,0.0,17000000.0
34,Benoit Menardo,Payflow,https://www.linkedin.com/in/benoitmenardo/,S21,0.0,17000000.0
35,Banks Hunter,Charge Robotics,https://www.linkedin.com/in/banksh/,S21,0.0,0.0
36,Max Justicz,Charge Robotics,https://www.linkedin.com/in/maxj/,S21,0.0,0.0
37,Rui K Miadaira,Ahazou,https://www.linkedin.com/in/ruikm/,S21,0.0,0.0
38,Henri Suhardja,Titipku,https://www.linkedin.com/in/henri-suhardja-1881a4109/?originalSubdomain=id,S21,0.0,130000.0
39,Ong Tek Tjan,Titipku,https://www.linkedin.com/in/ong-tek-tjan-533b2616/?originalSubdomain=id,S21,0.0,130000.0
40,Will Crowe,HEO Robotics,http://www.linkedin.com/in/william-crowe-space,S21,0.0,15000000.0
41,Hiranya Jayakody,HEO Robotics,https://www.linkedin.com/in/hiranya-jayakody/,S21,0.0,15000000.0
42,Ryan Westerdahl,Turion Space,https://www.linkedin.com/in/rwesterdahl/,S21,0.0,20000000.0
43,Tyler James Pierce,Turion Space,https://www.linkedin.com/in/tylerjpierce/,S21,0.0,20000000.0
44,Patryk Wiatr,Turion Space,https://www.linkedin.com/in/patryk-wiatr/,S21,0.0,20000000.0
45,Carl Madi,Stepful,http://www.linkedin.com/in/carlmadi,S21,0.0,51000000.0
46,Tressia Hobeika,Stepful,https://www.linkedin.com/in/tressia-hobeika/,S21,0.0,51000000.0
47,Edoardo Serra,Stepful,https://www.linkedin.com/in/eserra/,S21,0.0,51000000.0
48,Michael Astreiko,Synder,https://www.linkedin.com/in/michaelastreiko/,S21,0.0,2000000.0
49,Ilya Kisel,Synder,https://www.linkedin.com/in/ilya-kisel-cb/,S21,0.0,2000000.0
50,Tom Nguyen,Café,https://www.linkedin.com/in/tom-nguyen-49437650/,S21,0.0,0.0
51,Arthur Lorotte de Banes,Café,https://www.linkedin.com/in/sysless/,S21,0.0,0.0
52,Mateus Felini,Datlo,https://br.linkedin.com/in/mateus-felini,S21,0.0,0.0
53,Raisa Spagnol,Datlo,https://www.linkedin.com/in/raisa-spagnol-a589999b/,S21,0.0,0.0
54,Chase Bonhag,FirstIgnite,https://www.linkedin.com/in/chasebonhag/,S21,0.0,150000.0
55,Cody Pawlowski,FirstIgnite,https://www.linkedin.com/in/codypawlowski,S21,0.0,150000.0
56,Ankit Jain,Aviator,https://www.linkedin.com/in/ankitjaindce,S21,0.0,0.0
57,Anurup Ganguli,VedaBio,https://www.linkedin.com/in/anurup-ganguli-phd-24a22419/,S21,0.0,40000000.0
58,Martin Lykke Suhr,GamerPay,https://www.linkedin.com/in/martingeorgesuhrmadsen/,S21,0.0,2000000.0
59,Morten Byskov,GamerPay,https://www.linkedin.com/in/mortenbyskov,S21,0.0,2000000.0
60,Peter Haldbæk,GamerPay,https://www.linkedin.com/in/peterhaldbaek/,S21,0.0,2000000.0
